Residue_Linear1 Episode 354, Reward: -138.4859297103338, Steps: 152
Residue_Linear1 Episode 355, Reward: -192.09402414292074, Steps: 114
Residue_Linear1 Episode 356, Reward: -36.18783448920964, Steps: 168
Residue_Linear1 Episode 357, Reward: -224.55379517883904, Steps: 99
Residue_Linear1 Episode 358, Reward: -80.08552121728208, Steps: 105
Residue_Linear1 Episode 359, Reward: -171.18389525644378, Steps: 70
Residue_Linear1 Episode 360, Reward: -181.95295970159384, Steps: 83
Residue_Linear1 Episode 361, Reward: -267.4381600916656, Steps: 94
Residue_Linear1 Episode 362, Reward: -92.3970667363469, Steps: 204
Residue_Linear1 Episode 363, Reward: -110.37608821772551, Steps: 184
Residue_Linear1 Episode 364, Reward: -311.20765658760223, Steps: 118
Residue_Linear1 Episode 365, Reward: -248.0406802379509, Steps: 94
Residue_Linear1 Episode 366, Reward: -194.01344725954885, Steps: 257
Residue_Linear1 Episode 367, Reward: -38.717374584602396, Steps: 126
Residue_Linear1 Episode 368, Reward: -194.04887586279887, Steps: 105
Residue_Linear1 Episode 369, Reward: -174.56069021678994, Steps: 102
Residue_Linear1 Episode 370, Reward: -219.6769505416964, Steps: 133
Residue_Linear1 Episode 371, Reward: -34.04180106535617, Steps: 159
Residue_Linear1 Episode 372, Reward: -161.27428135069215, Steps: 102
Residue_Linear1 Episode 373, Reward: -19.479535823136757, Steps: 196
Residue_Linear1 Episode 374, Reward: -366.9301433427422, Steps: 118
Residue_Linear1 Episode 375, Reward: -175.26305533600214, Steps: 131
Residue_Linear1 Episode 376, Reward: -301.5532530399905, Steps: 165
Residue_Linear1 Episode 377, Reward: -130.16847721616392, Steps: 81
Residue_Linear1 Episode 378, Reward: -501.8966125879412, Steps: 294
Residue_Linear1 Episode 379, Reward: -206.3531329449952, Steps: 262
Residue_Linear1 Episode 380, Reward: -139.49270992784727, Steps: 131
Residue_Linear1 Episode 381, Reward: -186.5659334650661, Steps: 86
Residue_Linear1 Episode 382, Reward: -385.82203534211925, Steps: 173
Residue_Linear1 Episode 383, Reward: -298.71357107855874, Steps: 173
Residue_Linear1 Episode 384, Reward: -222.3363776935526, Steps: 147
Residue_Linear1 Episode 385, Reward: -130.3926223757275, Steps: 119
Residue_Linear1 Episode 386, Reward: -155.21471522242712, Steps: 120
Residue_Linear1 Episode 387, Reward: -142.5390076879832, Steps: 103
Residue_Linear1 Episode 388, Reward: -170.8743757522165, Steps: 88
Residue_Linear1 Episode 389, Reward: -190.78741938542467, Steps: 84
Residue_Linear1 Episode 390, Reward: -186.12055207908418, Steps: 97
Residue_Linear1 Episode 391, Reward: -161.9129176363469, Steps: 89
Residue_Linear1 Episode 392, Reward: -278.27368357874843, Steps: 98
Residue_Linear1 Episode 393, Reward: -193.0219408356915, Steps: 149
Residue_Linear1 Episode 394, Reward: -193.3407339427776, Steps: 141
Residue_Linear1 Episode 395, Reward: -170.24242021436567, Steps: 94
Residue_Linear1 Episode 396, Reward: -220.66167241375024, Steps: 107
Residue_Linear1 Episode 397, Reward: -171.6400671131493, Steps: 79
Residue_Linear1 Episode 398, Reward: -174.41982047946755, Steps: 114
Residue_Linear1 Episode 399, Reward: -47.049640223020205, Steps: 118
